В каких электроустановках диэлектрические перчатки применяются в качестве дополнительного изолирующего электрозащитного средства?;В электроустановках до 1000 В@False;В электроустановках свыше 1000 В@True;Во всех электроустановках они используются в качестве основного изолирующего средства@False;Во всех электроустановках они используются в качестве дополнительного изолирующего средства@False
В каких электроустановках диэлектрические перчатки применяются в качестве основного изолирующего электрозащитного средства?;В электроустановках до 1000 В@True;В электроустановках свыше 1000 В@False;Во всех электроустановках они используются в качестве основного изолирующего средства@False;Во всех электроустановках они используются в качестве дополнительного изолирующего средства@False
В каких электроустановках могут выполняться работы в порядке текущей эксплуатации?;В электроустановках напряжением до 1000 В@True;В электроустановках напряжением до и выше 1000 В@False;В любых электроустановках@False
В каких электроустановках можно использовать контрольные лампы в качестве указателей напряжения?;В электроустановках напряжением не выше 380 В@False;В электроустановках напряжением не выше 220 В@False;В электроустановках напряжением не выше 1000 В@False;Применение контрольных ламп запрещается@True
В каких электроустановках при пользовании указателем напряжения необходимо надевать диэлектрические перчатки?;В электроустановках напряжением выше 380 В@False;В электроустановках напряжением до 1000 В@False;В электроустановках напряжением выше 1000 В@True
В каких электроустановках применяют диэлектрические боты?;В электроустановках напряжением до 1000 В@False;В электроустановках напряжением свыше 1000 В@False;В электроустановках напряжением до 10000 В@False;Во всех электроустановках@True
В каких электроустановках применяют диэлектрические галоши?;В электроустановках напряжением до 1000 В@True;В электроустановках напряжением свыше 1000 В@False;В электроустановках напряжением до 10000 В@False;Во всех электроустановках@False
В каких электроустановках применяются указатели напряжения для проверки совпадения фаз?;В электроустановках напряжением до 1000 В@False;В электроустановках напряжением от 1 кВ до 32 кВ@False;В электроустановках напряжением от 6 до 110 кВ@True;В электроустановках напряжением от 10 до 220 кВ@False
В какой последовательности необходимо выполнять технические мероприятия, обеспечивающие безопасность работ со снятием напряжения?;Произвести необходимые отключения, проверить отсутствие напряжения на токоведущих частях, установить заземление, вывесить запрещающие и указательные плакаты@False;Вывесить запрещающие и указательные плакаты, произвести необходимые отключения, проверить отсутствие напряжения на токоведущих частях, установить заземление@False;Произвести необходимые отключения, вывесить запрещающие плакаты, проверить отсутствие напряжения на токоведущих частях, установить заземление, вывесить указательные плакаты@True;Произвести необходимые отключения, вывесить запрещающие и указательные плакаты, установить заземление, проверить отсутствие напряжения на токоведущих частях@False
В какой последовательности необходимо начать оказывать первую доврачебную помощь пострадавшим от действия электрического тока в случае, если он без сознания, но пульс на сонной артерии есть?;Повернуть на живот, очистить полость рта, убедиться в наличии пульса, наложить на раны повязки и шины, если нужно@False;Убедиться в наличии пульса, повернуть на живот, очистить полость рта, приложить холод к голове, наложить на раны повязки и шины, если нужно и вызвать скорую помощь@True;Убедиться в наличии пульса, приложить холод к голове и вызвать скорую помощь@False;Убедиться в наличии пульса, приложить холод к голове, повернуть на живот, очистить полость рта, наложить на раны повязки и шины, если нужно и вызвать скорую помощь@False
В какой цвет должны быть окрашены искусственные заземлители?;В черный@False;В синий@False;В зеленый с желтыми полосками@False;Они не должны иметь окраски@True
В какой цвет должны быть окрашены открыто проложенные заземляющие проводники?;В синий цвет@False;В черный цвет@True;В зеленый цвет@False;В белый цвет@False;В красный цвет@False
